kode_wilayah,provinsi,kabupaten,kecamatan,desa,latitude,longitude,elevasi
35,,,,jawa timur,,,
35.01,,,,kab. pacitan,,,
35.01.01,,,,donorojo,,,
35.01.01.2001,,,,widoro,,,
35.01.01.2002,,,,sawahan,,,
35.01.01.2003,,,,kalak,,,
35.01.01.2004,,,,sendang,,,
35.01.01.2005,,,,klepu,,,
35.01.01.2006,,,,gedompol,,,
35.01.01.2007,,,,cemeng,,,
35.01.01.2008,,,,gendaran,,,
35.01.01.2009,,,,sukodono,,,
35.01.01.2010,,,,sekar,,,
35.01.01.2011,,,,donorojo,,,
35.01.01.2012,,,,belah,,,
35.01.02,,,,pringkuku,,,
35.01.02.2001,,,,dersono,,,
35.01.02.2002,,,,sugihwaras,,,
35.01.02.2003,,,,watukarung,,,
35.01.02.2004,,,,jlubang,,,
35.01.02.2005,,,,candi,,,
35.01.02.2006,,,,poko,,,
35.01.02.2007,,,,dadapan,,,
35.01.02.2008,,,,pringkuku,,,
35.01.02.2009,,,,sobo,,,
35.01.02.2010,,,,ngadirejan,,,
35.01.02.2011,,,,glinggangan,,,
35.01.02.2012,,,,pelem,,,
35.01.02.2013,,,,tamanasri,,,
35.01.03,,,,punung,,,
35.01.03.2001,,,,bomo,,,
35.01.03.2002,,,,sooka,,,
35.01.03.2003,,,,punung,,,
35.01.03.2004,,,,mendolo kidul,,,
35.01.03.2005,,,,piton,,,
35.01.03.2006,,,,kendal,,,
35.01.03.2007,,,,wareng,,,
35.01.03.2008,,,,mantren,,,
35.01.03.2009,,,,mendolo lor,,,
35.01.03.2010,,,,ploso,,,
35.01.03.2011,,,,gondosari,,,
35.01.03.2012,,,,kebonsari,,,
35.01.03.2013,,,,tinatar,,,
35.01.04,,,,pacitan,,,
35.01.04.1001,,,,sidoharjo,,,
35.01.04.1002,,,,ploso,,,
35.01.04.2003,,,,kembang,,,
35.01.04.2004,,,,sukoharjo,,,
35.01.04.2005,,,,kayen,,,
35.01.04.2006,,,,sirnoboyo,,,
35.01.04.2007,,,,arjowinangun,,,
35.01.04.1008,,,,baleharjo,,,
35.01.04.2009,,,,bangunsari,,,
35.01.04.2010,,,,sedeng,,,
35.01.04.2011,,,,sumberharjo,,,
35.01.04.1012,,,,pucangsewu,,,
35.01.04.1013,,,,pacitan,,,
35.01.04.2014,,,,tanjungsari,,,
35.01.04.2015,,,,menadi,,,
35.01.04.2016,,,,mentoro,,,
35.01.04.2017,,,,purworejo,,,
35.01.04.2018,,,,nanggungan,,,
35.01.04.2019,,,,widoro,,,
35.01.04.2020,,,,semanten,,,
35.01.04.2021,,,,sambong,,,
35.01.04.2022,,,,banjarsari,,,
35.01.04.2023,,,,bolosingo,,,
35.01.04.2024,,,,ponggok,,,
35.01.04.2025,,,,tambakrejo,,,
35.01.05,,,,kebonagung,,,
35.01.05.2001,,,,plumbungan,,,
35.01.05.2002,,,,karangnongko,,,
35.01.05.2003,,,,kalipelus,,,
35.01.05.2004,,,,karanganyar,,,
35.01.05.2005,,,,katipugal,,,
35.01.05.2006,,,,klesem,,,
35.01.05.2007,,,,sidomulyo,,,
35.01.05.2008,,,,worawari,,,
35.01.05.2009,,,,mantren,,,
35.01.05.2010,,,,gawang,,,
35.01.05.2011,,,,kebonagung,,,
35.01.05.2012,,,,purwoasri,,,
35.01.05.2013,,,,banjarjo,,,
35.01.05.2014,,,,gembuk,,,
35.01.05.2015,,,,sanggrahan,,,
35.01.05.2016,,,,punjung,,,
35.01.05.2017,,,,wonogondo,,,
35.01.05.2018,,,,ketepung,,,
35.01.05.2019,,,,ketro,,,
35.01.06,,,,arjosari,,,
35.01.06.2001,,,,mlati,,,
35.01.06.2002,,,,sedayu,,,
35.01.06.2003,,,,tremas,,,
35.01.06.2004,,,,arjosari,,,
35.01.06.2005,,,,gunungsari,,,
35.01.06.2006,,,,pagutan,,,
35.01.06.2007,,,,gembong,,,
35.01.06.2008,,,,borang,,,
35.01.06.2009,,,,gegeran,,,
35.01.06.2010,,,,kedungbendo,,,
35.01.06.2011,,,,mangunharjo,,,
35.01.06.2012,,,,jetiskidul,,,
35.01.06.2013,,,,temon,,,
35.01.06.2014,,,,karanggede,,,
35.01.06.2015,,,,gayuhan,,,
35.01.06.2016,,,,karangrejo,,,
35.01.06.2017,,,,jatimalang,,,
35.01.07,,,,nawangan,,,
35.01.07.2001,,,,gondang,,,
35.01.07.2002,,,,mujing,,,
35.01.07.2003,,,,sempu,,,
35.01.07.2004,,,,nawangan,,,
35.01.07.2005,,,,tokawi,,,
35.01.07.2006,,,,jetis lor,,,
35.01.07.2007,,,,penggung,,,
35.01.07.2008,,,,pakis baru,,,
35.01.07.2009,,,,ngromo,,,
35.01.08,,,,bandar,,,
35.01.08.2001,,,,petungsinarang,,,
35.01.08.2002,,,,ngunut,,,
35.01.08.2003,,,,bandar,,,
35.01.08.2004,,,,kledung,,,
35.01.08.2005,,,,tumpuk,,,
35.01.08.2006,,,,watupatok,,,
35.01.08.2007,,,,bangunsari,,,
35.01.08.2008,,,,jeruk,,,
35.01.09,,,,tegalombo,,,
35.01.09.2001,,,,kebondalem,,,
35.01.09.2002,,,,gedangan,,,
35.01.09.2003,,,,ngreco,,,
35.01.09.2004,,,,kasihan,,,
35.01.09.2005,,,,pucangombo,,,
35.01.09.2006,,,,gemaharjo,,,
35.01.09.2007,,,,ploso,,,
35.01.09.2008,,,,tegalombo,,,
35.01.09.2009,,,,kemuning,,,
