kode,nama
11,aceh
11.01,kab. aceh selatan
11.01.01,bakongan
11.01.01.2001,keude bakongan
11.01.01.2002,ujong mangki
11.01.01.2003,ujong padang
11.01.01.2004,gampong drien
11.01.01.2015,darul ikhsan
11.01.01.2016,padang beurahan
11.01.01.2017,gampong baro
11.01.02,kluet utara
11.01.02.2001,fajar harapan
11.01.02.2002,krueng batee
11.01.02.2003,pasi kuala asahan
11.01.02.2004,gunung pulo
11.01.02.2005,pulo ie i
11.01.02.2006,jambo manyang
11.01.02.2007,simpang empat
11.01.02.2008,limau purut
11.01.02.2009,pulo kambing
11.01.02.2010,kampung paya
11.01.02.2011,krueng batu
11.01.02.2012,krueng kluet
11.01.02.2013,alur mas
11.01.02.2014,kampung tinggi
11.01.02.2015,ruak
11.01.02.2016,simpang lhee
11.01.02.2017,suaq geuringgeng
11.01.02.2018,pasi kuala ba'u
11.01.02.2019,kedai padang
11.01.02.2020,kotafajar
11.01.02.2021,gunung pudung
11.01.03,kluet selatan
11.01.03.2001,suaq bakung
11.01.03.2002,rantau binuang
11.01.03.2003,barat daya
11.01.03.2004,sialang
11.01.03.2005,kapeh
11.01.03.2006,pulo ie
11.01.03.2007,kedai runding
11.01.03.2008,kedai kandang
11.01.03.2009,gampong luar
11.01.03.2010,ujung
11.01.03.2011,jua
11.01.03.2012,pasi meurapat
11.01.03.2013,ujung pasir
11.01.03.2014,geulumbuk
11.01.03.2015,pasie lembang
11.01.03.2016,ujung padang
11.01.03.2017,indra damai
11.01.04,labuhan haji
11.01.04.2001,bakau hulu
11.01.04.2002,padang bakau
11.01.04.2003,manggis harapan
11.01.04.2004,pasar lama
11.01.04.2005,apha
11.01.04.2006,ujung batu
11.01.04.2007,pawoh
11.01.04.2008,dalam
11.01.04.2009,kota palak
11.01.04.2010,cacang
11.01.04.2011,tengah pisang
11.01.04.2012,pisang
11.01.04.2013,hulu pisang
11.01.04.2014,tengah baru
11.01.04.2015,lembah baru
11.01.04.2016,padang baru
11.01.05,meukek
11.01.05.2001,kuta buloh ii
11.01.05.2002,kuta buloh i
11.01.05.2003,ie dingen
11.01.05.2004,drien jalo
11.01.05.2005,jambo papeun
11.01.05.2006,buket meuh
11.01.05.2007,blang kuala
11.01.05.2008,rot teungoh
11.01.05.2009,alue baro
11.01.05.2010,ladang tuha
11.01.05.2011,lhok mamplam
11.01.05.2012,arun tunggai
11.01.05.2013,blang teungoh
11.01.05.2014,blang bladeh
11.01.05.2015,ie buboh
11.01.05.2016,keude meukek
11.01.05.2017,kuta baro
11.01.05.2018,tanjung harapan
11.01.05.2019,labuhan tarok
11.01.05.2020,lhok aman
11.01.05.2021,alue meutuah
11.01.05.2022,ladang baro
11.01.05.2023,labuhan tarok ii
11.01.06,samadua
11.01.06.2001,dalam
11.01.06.2002,subarang
11.01.06.2003,kuta baru
11.01.06.2004,gunung ketek
11.01.06.2005,ladang panton luas
